Review Title,Review Date,Review Content,User Rating
" Episode 3
",2024-06-12,Honestly unlike most Star Wars fans who are bashing this. I am actively trying to enjoy this. But. It is difficult. Ep. 3 has got to be the most pointless episode. Everything covered in this new ep. We already knew! Skipping this episode and just watching next week's recap would have better pacing.I want to like the show. But I just wasted 44 minutes. And that bothered me. So I made a IMBD account just to leave a review. Granted. The show is not complete. It could still recover. But this episode made me not want to watch it weekly. The show's snail pace of a plot really undermines its weekly release. Where is this going. We are on episode 3 of 8 and I've nothing to excitedly cling to. I've no hate for the show. I want it to be good. I love Star Wars. But I'm just not that excited. And episode 3 sold me on just waiting till after july 16th to watch the show.,3.0
" WTF
",2024-06-16,"This show is an unmitigated catastrophe, an abhorrent spectacle of unparalleled mediocrity. Each episode contributes to a veritable mountain of insufferable tedium, an affront to the very concept of entertainment. The narrative is as disjointed as it is uninspired, and the characters are devoid of depth and charisma. In sum, this production is an odorous heap of creative bankruptcy, a regrettable waste of time and talent that leaves viewers longing for the blissful reprieve of its conclusion. It stands as a testament to everything that can go wrong in television. Star wars is dead and they won't stop beating the corpse.",1.0
" Why Disney, Why
",2024-06-05,"I was so excited to see Carrie Anne Moss in an action role again.. just for Disney to kill her off in the first 2 minutes!What was the point of hiring an accomplished actor for one scene, perhaps they'll be flashbacks but I can't imagine they can use her much now.They managed to use her in the trailer to sucker her fans in though, I squeaked Trinity at the screen when I first saw the trailer. I'm now just left with disappointed.I turned the show off after 5/10 minutes so I can't comment on the rest of the acting, cgi etc.I know some other fans feel the same, this is not a good way to treat your fans.Heck you Disney.",1.0
" Painfully bad - bad story, bad themes and terrible acting
",2024-06-23,"What is happening to Star Wars? I was really excited about this but I found the first episodes very hard to sit through, it was so boring and my kids hated it. They lost interest in it almost immediately. I kept going but it was a real disappointment.Dialogue didn't make sense and acting was soap opera like. Too much weird dramatical scenes. This does not inspire anyone and was so annoying in parts.I hoped by the third episode it would be better but so much of it didn't make sense and was just bland and dull.The plot doesn't make sense and was confusing at best, more likely just badly thought out.",1.0
" It's Good so Far
",2024-06-14,"I feel impelled to review because the negative review bombing is outrageous! Reviews are supposed to help not obscure.It's not in Ashoka or Andor bracket yet but it is interesting and enjoyable so far at the beginning of what could be a very compelling and important series.It's actually quite enlightening and inventive. And is another journey of which we have no idea where it will turn.The premise is very simple and the characters are pleasing, even at early stage.The hate is implausible when there is nothing to give such a bad opinion of yet.I for one look forward to how it develops and so I expect would most.",7.0
" Abomination
",2024-06-06,"Why do they continue to destroy this beloved franchise. The writing is sub-par, the lines are cheesy and the characters are hardly believable. And all this before completely nuking cannon. This very well might destroy any affection that remains for Star Wars. I remember being excited when Disney purchased the rights to Star Wars. So much potential, such a vast universe of content. This show, thus far could very well be the reason that large numbers of subscribers leave Disney+. Honestly, there have been a few good series like The Mandalorian and Andor, but the others have really been nothing more than hot garbage.",1.0
" This is not Star Wars.
",2024-06-05,The moment a Jedi is just chilling with no shirt on as a master Jedi walks in...how ? Why? Who is this pondering to? Just make good stories and characters. ....... My heart has broke.The first death is ok shocking but why? Why not switch the green actor with Carrie and have her be the general as that would be way more cast appropriate.May the force be with you is said as a aftershot and doesn't even seem honest as she is smiling as she says it.I was waiting all day to watch this when I got home.This first episode is no bueno.No characters I care about unless you consider Ashokas replica a character.I miss the clone wars. I miss Vadar.Star Wars is not worth watching right now.The music is on point tho. As usual for a Star Wars media piece.Sorry for my opinion.,1.0
" A Disappointment in a Galaxy Far, Far Away
",2024-06-05,"As a long-time Star Wars fan, I had high hopes for ""The Acolyte."" Unfortunately, this series has been a massive letdown, primarily due to its atrocious writing.From the start, the plot feels disjointed and lacks the coherent storytelling that Star Wars is known for. Characters are introduced with little to no background, making it hard to care about their journeys. The dialogue is cringe-worthy and often feels forced, devoid of the natural flow and wit we've come to expect from the franchise.The pacing is another major issue. The series drags in places where it should be exciting and rushes through moments that could have been impactful. Instead of creating a captivating narrative, it feels like the writers were more interested in ticking boxes than telling a compelling story.Moreover, the show's attempts at expanding the lore fall flat. Rather than enriching the Star Wars universe, ""The Acolyte"" adds unnecessary complications and contradicts established canon in frustrating ways. This not only confuses long-time fans but also dilutes the essence of what makes Star Wars so special.In short, ""The Acolyte"" is a prime example of wasted potential. Its terrible writing undermines what could have been an intriguing addition to the Star Wars saga. If you're a fan looking for the magic of the original trilogy or the depth of The Mandalorian, you'll be sorely disappointed.",1.0
" Why?
",2024-06-06,"Just another attempt to send an activism message using something beloved from the past. But in the case of Star Wars, we already know.Besides that, the script is lame, the fighting is dumb, the acting is stiff and from the first two episode, we know it only getting worse.Its getting to a point where they dont even try to write something even average. Seems to be that scripts that in past would only make it to low budget VHS movies, now get visual ""quality"" in streaming and trick people into thinking it is premium content but its almos a soap opera with FX, which in fact are actually really, REALLY expensive. What a shame.",2.0
" Boring, bland, ...
",2024-06-05,"Its hard to write a review without hitting spoilers but its amazing the low production value of this series.The dialog is feel like its written for children, trying to exposition dump so much information that the characters are supposed to know but is just dumped for the audience with no real integration in the storyline. There are no attempts made to have the audience guess, no, its verbatim told again, and again ... There is no ""there is another"" (OJ Star Wars), no, they go so fast from 0 to 100, that your head can not turn in time.We have master Jedi losing fights in ways that can only be described as ""wtf"" (like they nerfed Jedi Int and abilities down to 2/10). Characters that seem to know about Jedi secrets and how to exploit them, where you again need to go ""wtf, that makes no sense"".The acting feels bland and more what your expect from cosplay actors (and to be honest, i have seen WAY better cosplay then this series delivers) in its two episodes.The interaction between actors feels awkward, like strangers talking to each other, when they are portrayed as friends of good collogues.There are issues with sense of time, like they tried to rush so much in a few episodes, that there is a issue in several scenes with the flow of time.Confrontations that make no sense if you look at the flow of time and how people travel. Even more so is some of the witnesses of a crime, yet, no thought was placed into a counter of innocence (trust me, think about that scene for a few seconds, the location, ... how is X guilty and yet, the location and time) yet, the Jedi intelligence is again 2/10 ...It feels like a bad Disney theme park and to be honest, i have seen way better acting from those parks.Do not see how this can even be considered this 10/10 with a scalding ""you are not a real SW fan"" for not giving it a 10/10. Has our standards dropped so much? Or are we looking at paid bot accounts because something feels off. Are people that desperate for any SW content, that they ignore the low standards being shown.Yes, its not Andor, but compared to Ahsoka.(a heavily flawed serie), it makes Ahsoka look like a masterpiece... Despite all its logic flaws, the acting was actually good (for the most part).If you where to write bad fan fiction, have it acted by teens with no acting experience on a massive budget, that is how the Acolyte feels like with its two opening episodes.",2.0
" The message... again
",2024-06-07,"In the first two episodes of this unbelievable catastrophe there is nothing worth watching or listening. Sure, they put some effort in the choreography, but that's so empty if you have no back story, no connection to attach to the characters... The acting is bad (especially the green Jedi master!), the lights are in all the wrong places, the story has no coherence, and it's like it's filmed backwards but only half way... Not to mention that one of the characters puts out a fire in the vacuum of space. I get it, it's Hollywood, but this audience will NEVER stand for this kind of stuff!Compared to this, Kenobi and the Mandalorian were actually entertaining. What story is this? Where does it begin and why?",1.0
" Very Disappointed
",2024-06-16,"I tried to like it. I really did.I've watched every single bit of Star Wars and for the most part loved it. Its such a rich and expansive universe with great characters, themes and stories. The sequel trilogy knocked my enthusiasm a bit but then the Mandalorian and its spin offs, Andor and the live action characters from Rebels appearing in Ahsoka brought me right back in.This...it may be the first Star Wars that I don't see through to the end and I hate that I don't feel I can put myself through any more of it after watching three episodes.It was billed as a bit of a mystery show running up to its release. There is no mystery here. The mystery elements seem to last all of five minutes before being revealed. There is no buildup to anything then the reveals are pretty predictable. They made it look like there could be something very interesting going on with our lead character, being arrested for a crime only to reveal in no time at all that oh, she has an evil twin.There are some really good actors in the show, Carrie Anne Moss, Dafne Keen, among others. Unfortunately the characters they are playing are not particularly developed at all, with the pace and direction of things not allowing any and their acting comes across as very wooden, less because of their performance skills but because the dialogue is terribly written.The first two episodes seem to have basically revealed the entire plotline. Then there is episode three... this is where it completely lost me. We find out the twins are immaculate force conceptions, created by a coven of lesbian force witches (The showrunner said this) and we get to see the events in their origin that were referenced in the prior two episodes. Its clear that the evil twin seems to have been born a raging sociopath with no complex motivations at all that made her this way and despite being raised in an isolated commune the ""good"" twin has an ambition to leave everything to become a jedi? Again with no explanation as to why. Evil twin decides to burn the entire place to the ground to kill her sister for wanting to leave and all the witches just die offscreen. Its terrible storytelling. I can only assume this is Leslye Headland's teenage fanfiction with a multi million dollar budget.I approached the show with hope it would be as good as The Mandalorian or Andor while exploring an era of star wars that hasn't been seen before. I have been woefully disappointed unfortunately. Such a shame that presented with a completely unexplored time period, with pretty unlimited opportunity for storytelling, this is the story they chose.",2.0
" Brain stroke
",2024-06-13,"All of this should go to some war crime tribunal as deeply psihological attack on all of humanity. Director is stupid,actors shallow,even camera is off and too dark and blurry,take a bucket and send this down sewer. Proof that some people do not represent majority of social base. Or morality. Or talent. Maybe that is their fight now,we will destroy SW if you do not love us or something like that. They are just like director-incompetent self proclaimed lie trying to spread below basic mediocrity and boy they spread thin this already butchered serial of ones loved sf franchise. Even effects look false. Actors will run in the street and say-it was not me,not meeee....",1.0
" Made for children
",2024-06-05,"Firstly, the look of the show is amazing, so props there, but as an adult, I prefer shows that have nuanced writing, strong acting and no 'cheese factor'.So, when it comes to this show, who's it for? I think it's made for kids. And for that, well, then good! If you are a parent who doesn't mind your child watching some fantasy violence, then this is the show for your family.But if it's meant for adults who are discerning fans of Star Wars and of well made shows, then this fails miserably. It feels as though amateur show producers, writers and runners where given a ton of money to make something incredible; and they fell short. As would be expected.The show is sub-par, cheesy, re-hashed, unimaginative, and basic in every way. No offence to any precocious child out there, but the show will entertain almost all children that like this genre and they won't find a reason to complain about any of the above lol.If you want a comparison from the same universe: Andor is made for discerning adults, and this show is made for children.",1.0
" A mess
",2024-06-12,"As a long-time Star Wars fan, it pains me to say that the franchise seems to have lost its way. The latest spin-off, while boasting a cool concept, failed to capture the magic and excitement that once defined Star Wars. It's reminiscent of the disappointment I felt with the third season of The Mandalorian - promising at first glance, but ultimately underwhelming.The franchise, once a beacon of innovative storytelling and unforgettable characters, now feels mediocre. It's disheartening to see such a beloved series lose its luster. Perhaps it's time for me to explore new galaxies, far away from Star Wars.I found it hard to force myself to like it. The legacy of Star Wars deserves better than this. It's time for Disney to course correct and breathe new life into this once-thriving universe. .",1.0
" Disappointing Addition to Star Wars
",2024-06-05,"This was an overwhelming disappointing since my family loved the Mandalorian and Andor series and we were expecting something creative and engaging. Sadly, the dialog was predictable and tended to be boring to slog through. The set designs weren't very original with the typical remote outpost motif with a bit more color. No interesting vehicles or dress - just copied from previous Star Wars series with a few modifications. Boring.I thought Amandla Stenberg did a credible job as Osha delivering the boring lines with a boring storyline well. However, her performance couldn't save this lackluster series start. Let's hope it picks up in episode 3.",2.0
" Star Wars Franchise has hit a new LOW
",2024-06-20,"Lifelong Star Wars fan here. This series has MANY issues. I have compiled a list of problems that stand out the most in my eyes. A rocky start with the debut of episodes 1-2 that leave you thinking this may have promise, but giving red flag after red flag. After the release of episodes 3 and 4, our worst fears have been realized.1; Too short of run times for episodes! How do you expect to tell a compelling story when your latest episode is 27 minutes long!2; Poor basic narrative storytelling.3; Atrocious dialogue and direction.4; Breaking their own canon. Bringing in a prequel character that is only supposed to be 70 years old.5; Does not follow basic fundamentals of logic for their own world.It just feels like one thing after another. We are half way through this series and I pray that somehow things turn around. As stated before, I'm a lifelong Star Wars fan. I can recognize this franchise has had problems in the past with films and their series both. As a consumer, Star Wars is not firing on all cylinders. With a budget of $180 million on this project, I'm looking around and asking where it went? Yes, the sets look great for the most part! Learn from this Disney. Shoot ON LOCATION. Use the volume sparingly. I'm not sure if all of this falls on the showrunner, or it should fall more on Kathleen Kennedy. Greatest producer, does not equal good CEO. It's time for a change.",3.0
" Really Bad
",2024-06-24,"It's as bad as everyone says it is. Horribly written. So much bad exposition and horribly pacing. Large chunks of the show are just plain boring with bad writing throughout and they are constantly repeating plot points by both telling us what happens with exposition and then showing us with flashbacks. Why do we need whole episodes of flashback? This is a new show, they should have started where it began instead of having long breaks from the narrative to give us context via boring flashbacks. One whole episode is a flashback, but they told us almost everything that episode shows before that episode through exposition. So, why the flashback episode? Why the exposition? We didn't need both, we just needed one. This show is bad (watched to episode 4) from the start to where I gave up. Don't give disney views on this show, it will just encourage more of the same poor quality stuff disney is known for these days. Someone must have been embezzling from the project because it's not clear why this show cost so much money.",1.0
" Impressively bad
",2024-06-21,"I can not understand what happened to the money spent on this show. The story, dialogue and set all feel like a low cost sci fi from the 80s.Someone must have taken the money into their pocket. There's no other explanation. Maybe they used it to bribe some of the critics into writing some delusional positive reviews.And by the way who cares about how many characters are women, etc. Get all minorities into the series, that's fine! I just care about the absolutely appaling quality.I got so frustrated with the choices for this series that I had to create an account just to vent a bit. Fire Kathleen Kennedy already, before she does it again.",1.0
" This is not star wars
",2024-06-05,"Where do I even begin?Who green lights these shows? I was excited when I heard of the acolyte thinking they were finally going to focus on the dark side of star wars and make a mature, gritty and chilling show.They've written so many books about dark side characters. Hell there's even a book of sith. So much info available. Only to be given this cute piece of trashLike the acting is laughable, the plot makes no sense and the dialogue could be better if they got a bunch of 7 year olds and promised them ice cream. We are not babies Disney. Stop glamifying everything.How is there fire in space? How did a jedi master get so easily distracted? It's literally part of their training as padawans to not be freaking distracted.Good sis bad sis? Wtf is this frozen? How did mae free herself from the force pull / stasis she was under? How was osha moving so freely in a freaking ice planet?Jedi masters feeling guilty and commiting suicide now?? That goes against every jedi code.Why can't disney adapt any of the hundreds of old republic comics instead of this garbage?",1.0
" Updated review after episode 3
",2024-06-06,"Edit: after watching episode 3, it seems a lot better done, I changed my review from a 3 to a 7 so far. The reason why this episode changed so much for me is that it added much needed context that instantly made the story more interesting and I felt more invested. Starwars does its best when factions have grey areas, and the grey areas are a lot more fleshed out now, and its one of those stories where you can emphasize with the ""dark side"" more than usual. The first two episodes were still REALLY rough, and I'll stand by that, but this third episode is one even huge critics of the first two will want to see. I felt like there was some details that were left a little unexplained, but its possible the reason why is so they can reveal them later. (How did *everyone* in the fortress die from that fire?)I'll preface this by saying I love starwars, and consume almost all the media out there, I actually like a lot of disney starwars. This show is a rare exception. (ultra vague spoilers ahead). I'll start with the good, the acting was good ad I had zero complaints there, the actors are phenomenal, and the set design feels like starwars, even if some of the action sequences do not. The writing is bad, many things are said instead of shown, and it ends up being so cheesy. Also characters with shared history don't recall the past and mention every detail for the sake of the audience. Much of the ""humor"" is just really off, kind of like the ""your mom"" joke in the last jedi. I don't know what their budget was, but it seems low production value. Fights don't feel like fights, they feel like hyper choreographed dances, they reminded me of martial arts films like ""crouching tiger, hidden dragon"" or ""hero"", and not a true struggle for life and death, or other starwars fight sequencs you'd come to expect. A couple of the jedi so far don't really act like jedi at all, one jedi just kills himself because he was asked nicely (theres some deeper story to it, but its really sudden and not like a jedi to just off themselves for something in their past), another jedi is easy to anger. One of the series unique choices is costume design, and while its in ""the high republic"" era, 100 years before the rise of the empire, and I can imagine there would be some cultural differences over 100 years, the designs seem unusually ornate for jedi. The alien design seems low quality, there is a character that is the same race as Bariss Offee from the clone wars tv show, and it really just looks like a human with face paint. Another alien looks like they had a bunch of stiff prosthetics hastily glued to their face. And I swear a beard was glued on to some character, you'll know who I'm referring to in the 2nd episode. I don't want to seem hateful, but I almost think I could've done a better job writing it just because I'm a more discerning media viewer that notices the little things and has more in my toolbox to convey a story other than just having characters say it. It feels like something you'd see from an amateur or someones first few screenplays or drama projects. Its supposed to be a mystery genre, but I feel like the mystery is already dissolved and they are just chasing who they know did the murders from episode 2 forwards. The only reason I may finish this show is because I'm a starwars mega nerd, but I'm not exactly looking forward to it. This show makes Kenobi and Book of Boba Fett look fantastic in comparison, but I will concede that its only the two episode premier so far. Maybe I'm just spoiled by how good Andor and the Mandalorian were. I don't think Disney should branch out and make too many shows if they are going to be low quality like this. The thoughts I was left with were ""was nepotism involved in this production""",7.0
" This show is not for children or long-time Star Wars fans...so who's it for?
",2024-06-06,"Star Wars has for decades followed established cinematography techniques and shot-aesthetics that help imerse the viewer in another galaxy. This show does not.Problems include:
-Episodes appear to have borrowed sets from the straight-to-youtube game show series, Star Wars: Jedi Temple Challenge.-Sets feel enclosed with minimal wide shots to establish where characters are.-The editing is rushed, with screenwipes overused and inconsistent with their use in the original trilogy.-Further overuse of handheld shaky-cam (This began with the Star Wars: Obi-Wan Kenobi limited series.)
-The show constantly appears overlit by a single-point light source with very little atmosphere. (As if someone is just holding a giant lightbulb just out of frame...)
-Overuse of subtitles to establish locations. (Anyone watching Star Wars knows Coruscant by now...Let the story establish the location...)
-Ships and droids are generic and unimaginative, looking ripped straight from series such as Red Dwarf rather than following established Star Wars design aesthetics. (Nobody is going to want to buy toys of these characters!)
-Background actors/extras constantly over-acting to the point of drawing more attention to themselves than the main in-focus characters.-Inconsistent alien make-up/prosthetics. While there are quite a few impressive new alien designs in the opening scenes, skip ahead and the most prominant aliens have been relegated to wearing nothing but ill-fitting bucket-like costumes.-Inconsistent tone of dialogue. (Certain scenes feel like you are watching a CW dramedy...)Why?:
-A shirtless male Jedi steam-irons his clothes (Yes, you read that correctly! Are Disney now already paroding themselves? Rian Johnson's The Last Jedi introduced that infamously bad ironing scene...)-A male Jedi gets distracted by an attractive female Jedi, stops looking through his macrobinoculars and loses his target during a murder investigation. (Are all male Jedi except Sol incompetent 100 years before The Phantom Menace)-A man under the influence of narcotics quotes a line from the Sith Code as if it's a common phrase, which should not be common knowledge by anyone except the two current Sith Lords. (Always two there are. No more. No less!)This show is not for children:
-A Jedi commits suicide by drinking poison. (Honestly, this episode should have come with a self-harm warning...)Goofs:
-Padwans told to close their eyes. Unfortunately, somebody forgot to give one poor alien the ability to close their eyes.Positives:
-Lee Jung-jae's character, Sol, is quite likeable and his acting is a stand-out amongst the very bland delivery by the other actors in the series. He should be given the chance to return to this role in future Star Wars shows set in this era.-They seem to have gotten Neimoidians right.",2.0
" All I'm asking is why
",2024-06-05,"I love Star Wars, I love the legacy that was created by Lucas, by all the independent authors whose goal was to expand the universe with versatile, creative and interesting stories. Perhaps this is what we deserve, maybe this is what we meant to get for being so unsure about the right path for the franchise, yet still the disappointment is so hard, even with no expectations. It's hard to find words. The Obi-Wan series was a huge let-down too, but it had its moments. If Disney says this is the upcoming era for the universe, I'm out. It could be that only the games have their potential to be a saviour for all of the real fans. However I'm here with lacking confidence, the damage has been done.",1.0
" What did I just watch?
",2024-06-05,"The first two episodes are objectively bad. This isn't even Star Wars. The arrogance of the showrunners that pump this stuff out and pass it off as Star Wars is astounding. Talk about losing touch with your primary audience. It's basically a young adolescent murder mystery wear they've splashed some Star Wars elements like droids and lightsabers to tie whatever this is into the brand. The Jedi costumes are bad, the dialogue is bad and the plot boring. Let's not even get started on their poor use of Carrie Ann Moss. Some of the alien species sees more out of a Star Trek set than Star Wars. Last but not least the fighting scenes of someone with some Marshall arts manhandling Jedi.... C'mon.",2.0
" Absolute dreck
",2024-06-07,"Just everything you'd expect from the current crop of hopelessly uncreative political activists who have captured widely loved franchises with the explicit intent of tearing them down because they hate the people who enjoyed them.These are cruel people who delight in hurting and insulting people for simply existing. Their allegiance is to a political cause, not to unite and entertain people.It's a complete disaster but once one realizes that is deliberate it makes more sense. Tearing down statues means actually tearing down statues. Whether they're physical statutes or cultural ones, everything must be destroyed for the cultural revolution.",1.0
" Glad it's a galaxy far far away
",2024-06-07,"This show does not disappoint if you are looking for bad acting, horrible writing, and weak plot lines. It is obvious the director has never seen a Star Wars movie before being hired for this project, it lacks any relation to the source content and spits on the history of the franchise. Disney has decided to destroy Star Wars for the sake of DEI and pandering to a very small audience. The once beloved struggles of characters and their companions fighting for what is right and coming together is now gone. It is not about a strong female lead with her band of DEI misfits having not earned their victories by trial and tribulations but by just being marginalized . I would not recommend this series to anyone or Disney+.",1.0
" Missed Opportunity!!!
",2024-06-05,"I really wanted this to be good. The CGI and sound was great but the story just blows apart anything good about the show. The dialogue is terrible and the characters feel wooden. Ive read some of the 10 reviews on here and really don't understand where they are coming from. I'm left to believe that this might be a generational thing. The older generations expect things to improve over time. The younger generations seem perfectly happy will terrible storytelling and writing. Perhaps because of the way we enjoy media now. Our brains are simply wired differently. This had the feel of fan fiction, I found myself asking the whole way through the two episodes. Why? Why that language, why that choice, why that angle, why, why why. The thing that really annoyed me though where the Jedi. They didn't have the gravitas you would expect. You see glimmers of it in carrie-anne. And master Sol. But just as quickly it's gone and the drudgery continues. This was a slog and I'm not sure I'm up to watching the rest. Please Disney, find better writers!!",1.0
" What is this?
",2024-06-05,"Lifelong Star Wars fan and I don't know what I just watched. This was awful on every level. The only character that interested me was killed off in the first few minutes. Production value reminds me of fan-made stuff on YouTube. Just dreadful.It can't be this difficult to make a good Star Wars show. I enjoyed Andor and even liked Ahsoka. But this show is like they aren't even trying. Disney might be in too deep already, but they need to abandon this period of Star Wars immediately. I've seen nothing interesting from their High Republic period. It is DOA. I never thought I would say this, but please Disney just end it. Stop making anything related to Star Wars.",2.0
" Dumpster Fire
",2024-06-13,"I wish I could give this show 0 stars. I do not understand how you take such an amazing franchise and turn it into a political nightmare. The vast majority of Star Wars fans just want a good story and accurate lore. Not this bull they are shoving down our throats.I went into this show open minded and after the first two episodes I was not impressed. However, after the third I am just completely done and heart broken what has become of Star Wars after being a lifetime fan.Disney needs to either give up the rights to the franchise to people that actually know the lore and care about what they are putting out or do a full clean house and hire the individuals that have been making these amazing fan films that are better than 90% of what Disney has released.Rating: Absolute Dumpster Fire 0/10.",1.0
" Don't listen to the haters
",2024-06-19,It's not as bad as everyone says it is. For some reason the Disney haters are joining together and review bombing this show. It has its flaws like anything else but this story is pretty good and you can tell the writers and directors really tried on this. Everyone who has something negative to say never says anything specific they don't like because there isn't anything that they actually don't like. Enjoy the show for the story it tells and stop watching every episode like you're counting the flaws. If you're not watching a show to enjoy it then there's no reason to even watch it in the first place.,8.0
" Edgelord haters are out in force
",2024-06-24,"Is this show the best thing ever made? No. Is it still an enjoyable expansion of the Star Wars universe? Sure is.I'm entirely confident that all these one star reviewers wouldn't actually be able to tell you what they want if you offered it straight to them.I for one enjoyed the show. It goes to new planets, has non-Skywalker related characters, and expands on elements of the universe we already know and love.Disney has had a hit and miss track record since taking over, but those saying the old lore was amazing clearly don't remember or don't realise how many bad games, novels, etc. There were after the original films. Star Wars is such a massive IP there are bound to be things people like and dislike.If Andor was amazing, then this is just fun, and pretty intriguing too. I for one am glad to get new SW content, it's more SW, and that's not a bad thing.",7.0
" Shocking
",2024-06-05,It feel like a child has directed this for kids - it's not Star Wars it's rushed and feels like a play - diversity is fine yet the actors are not - feels like a teenage made this series on a merit his dad works for Disney - did anyone watch this before the putting it out ... feels like they said yeah it's really good then laugh at the same time. What I don't get is we had boba fett terrible series and it doesn't feel like we have learnt from our own mistakes -stop trying to change everything to fast - cast is poor lighting is poor and the to program is barley watchable - shame they got this wrong.,1.0
" What is happening!
",2024-06-16,What are they thinking at Disney? Surly someone can see the utter chaos happening to this beloved franchise and steer the ship to safer and more profitable seas. The name alone is a sure hit yet they seem to be stuffing it up! The direction this is going will not bode well in the end. It's been going downhill since Mando S3 when he became a background character to the Bo Katan show.ObiWan was terribly written and directed. The director had no idea about the lore of Star Wars and it showed in that show...and it shows up in this fresh pile too. Leslye Headland clearly has zero respect for the lore that has been setup by George. DO BETTER DISNEY AND FIX THIS BEFORE IT'S TOO LATE!!,1.0
" Strong Women big wow
",2024-06-19,"Could've been great, but fell short entirely. I really wanted a win for Star Wars here, but the directors and the writers don't seem to care about a good story or even well developed characters. As a Star Wars fan I'm crushed... the pandering and the slap stick humor that a marvel movie has is just not what we needed. I am going to watch it through and I hope I will get to change my review, but I doubt it. Seeing that the Slywalker legacy is essentially just be whatever and being born of the force needs chanting and women power... whatever. I do love seeing Lee Jung-jae, but I'm super disappointed they attached such a good actor to this politically charged Star Wars. Wish the producers could just leave the politics and personal feelings at home, and focus on a great story.",2.0
" Struggling to Find Something Redeeming
",2024-06-07,"Subpar acting and/or poor casting and/or directing.Difficulty understanding dialogue due to actor's accent.Uncomfortable amounts of Kung Fu Fighting, taking you out of the Star Wars universe, making it seem like a Chinese circus with Jedi robes.The Jedi as cops schtickThe overall ""feel"" is not like Star Wars; subtle things from the costumes, makeup, hair, sets, writing, props, etc.I can usually find something good* about all the post-Lucas Star Wars productions, but I'm struggling to find something likeable or compelling that would make me care enough to watch it. I will give it a chance as I have with other shows (e.g. Quantum Leap). Not getting my hopes up.* Ok, I liked the beard and levitation-meditation of this one Jedi.",3.0
" Why?
",2024-06-12,"Seems like they just wanted to make a starwars project with out understanding anything previously put out about starwars. I understand trying to put in something provocative to draw attention. However doing provocative things that purposely make fans upset doesn't seem wise if you want people to watch/like the show. Master Sol (Lee Jung-jae) has been awesome, the effects, practical and CGI are great. I will say the mediocre acting mixed with the mediocre story are making me give this rating. I'm not a fan of the force time scenes or the lack of history these clearly important events have on the future story (regarding 1-6). I understand the ripple effects are very difficult when doing a spinoff prequel show.",1.0
" Against my better judgment.... And it's bad
",2024-06-05,"So, I only got a portion of an episode in...What I got was - ok cgi, a Jedi killed in minutes by an angry young lady, who has empathy enough to let a bartender live.I couldn't get my head around the style of fighting - very Hollywood, with lots of arm twists and face smashing into tables.Cue some more Jedi arrive, all with good hair, but twitchy as hell.The Jedi appear to be presented as security, they appear to have connections, they appear to be cross.... In shirt, they aren't Jedi. They are someone's idea of what Jedi are, who didn't grow up with them.As the acolyte says, leaving the Jedi as an apprentice, do we really think she could kill a Jedi.No.Sorry.This is tripe.Cue the bartender enters - confirms she is the murderer...StopNo more.I lasted 16 mins.Disney + needs a block button.",1.0
" Lighting rocks on fire?
",2024-06-17,I actually laughed through much of this episode. I found it hilarious that we were supposed to take this seriously. There's just so much that runs counter to cannon that I don't know where to start. There is also gross stupidity and the violation of the rules of physics. One example is the lighting on fire of rocks. There are also many contradictions. One mother says the force cannnot be used as a weapon. Then she uses it as a weapon. This kind of stupidity is unfitting for Star Wars. I am about 2 minutes away from cancelling Disney plus because of this debacle. I only want a good story that makes sense regarding existing lore.,1.0
" It's NOT a Star Wars.
",2024-06-12,"Tell me, where is Star Wars? Have you decided to ruin the entire George Lucas universe with this series? God George, why did you sell your brainchild? ""Authors"" of the series Acolyte. Do you even imagine for a second what Star Wars is, or have you ever heard something like that, but you don't know anything about it, not by ear, not by heart. There was clearly a lot of alcohol in the office before filming. Do you think that we will eat this fake with a good wrapper? What was filmed and see for yourself...
Have we really degenerated so much that in the 2000s we could make Star Wars but not in 2024?",1.0
" A incredible new entry in the galaxy far far away.
",2024-06-05,"An incredible new entry in the galaxy far far away as it transports viewers to a new era full of rich storytelling, compelling characters, and vibrant worlds. The pacing was thrilling with a unraveling mystery. I love how accesible it is even if you have not read any of the books that have come before. The score so far is beautiful and chilling at the same time. The writing so far is clever, intentional, and paced so well. Overall the foundation is there for this to be incredible visual new entry in this franchise. Give this a show a shot, you will not regret it. It's so much fun and I cannot reccomend it enough!",9.0
" Too much hate for too little of episodes
",2024-06-07,"What really disappoints me about the reception of The Acolyte is that it just goes to show that Star Wars fans can't give anything new a chance. Finally a show that doesn't focus on the Skywalker era, with all new characters in a completely different historical period in Star Wars History. The fact that just after 2 episodes setting up the story that the show has bombed in ratings is extremely dissapointing. After years of shows like The Book of Boba Fett, and The Bad Batch you have to give props for the Acolyte for trying to tell something original in a franchise that has been delving up old ideas for years at this point. Quite frankly, after 2 episodes the criticism is not deserved. The story has barely had anytime to get off the ground, and Star Wars fans should be more perceptive to being shown new stories.",6.0
